Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-03-23 19:59:02,97,2
kujawsko-pomorskie,no-data,2020-03-23 19:59:02,20,0
lubelskie,no-data,2020-03-23 19:59:02,44,1
lubuskie,no-data,2020-03-23 19:59:02,16,0
łódzkie,no-data,2020-03-23 19:59:02,111,0
małopolskie,no-data,2020-03-23 19:59:02,31,0
mazowieckie,no-data,2020-03-23 19:59:02,147,1
opolskie,no-data,2020-03-23 19:59:02,19,0
podkarpackie,no-data,2020-03-23 19:59:02,30,1
podlaskie,no-data,2020-03-23 19:59:02,6,0
pomorskie,no-data,2020-03-23 19:59:02,17,0
śląskie,no-data,2020-03-23 19:59:02,74,1
świętokrzyskie,no-data,2020-03-23 19:59:02,8,0
warmińsko-mazurskie,no-data,2020-03-23 19:59:02,22,0
wielkopolskie,no-data,2020-03-23 19:59:02,36,2
zachodniopomorskie,no-data,2020-03-23 19:59:02,14,0
